Belgachia Sadharan Durgotsav,22.60929 , 88.38342,Belgachia Sadharan Durgotsav is a renowned Durga puja in North Kolkata (Calcutta);
Tala Barowari ,22.60723 ,88.37603,Tala Barowari Durgotsav is a renowned Durga puja in North Kolkata (Calcutta);
Baghbazar Sarbojonin Durgotsab,22.60478 ,88.36616,Baghbazar Sarbojonin Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Baghbazar Pally,22.60288 ,88.36735,Baghbazar Pally Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Jagat Mukherjee Park,22.59979 ,88.36619,Jagat Mukherjee Park Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Kumartuli Sarbojanin,22.60094 ,88.36327,Kumartuli Sarbojanin Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Kumartuli Park,22.59897  ,88.36143,Kumartuli Park Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Hatkhola Gosain Para,22.59796,88.36077,Hatkhola Gosain Para Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Shobhabazar (Sovabazar) Sarbojanin,22.59714,88.36174,Shobhabazar (Sovabazar) Sarbojanin Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Shobhabazar (Sovabazar) Beniatola,22.59598,88.3609,Shobhabazar (Sovabazar) Beniatola Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
B K Pal Park,22.59535,88.35999,B K Pal Park Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Ahiritola Yubak Brinda,22.59447,88.35879,Ahiritola Yubak Brinda Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Ahiritola,22.59517,88.35749,Ahiritola Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Sovabazar Rajbari,22.59678,88.36719,Sovabazar Rajbari Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Satadal,22.59524,88.36768,Satadal Durgotsab is a popular Durga puja in North Kolkata (Calcutta);
Shyambazar Nabin Sangha,22.5988,88.37533,Shyambazar Nabin Sangha Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Sikdar Bagan Durgotsav,22.59661,88.37283,Sikdar Bagan Durgotsab is a popular Durga puja in North Kolkata (Calcutta);
Hatibagan Nabin Pally,22.59577,88.37339,Hatibagan Nabin Pally Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Nalin Sarkar Street Sarbojanin Durgotsab,22.5947,88.37461,Nalin Sarkar Street Sarbojanin Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Hatibagan Sarbojonin,22.5942,88.37185,Hatibagan Sarbojonin Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Kashi Bose Lane,22.5923,88.36947,Kashi Bose Lane Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
Hari Ghosh Street Sarbojonin,22.59062,88.36828,Hari Ghosh Street Sarbojonin Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
